,RELIANCE.NS,TCS.NS,HDFCBANK.NS
2020-01-01 09:15:00,678.7921028,2167.6001,639.3
2020-01-02 09:15:00,690.34811568,2157.6499,643.375
2020-01-03 09:15:00,691.17996875,2200.6499,634.2
2020-01-06 09:15:00,675.14993532,2200.45,620.475
2020-01-07 09:15:00,685.5368574,2205.8501,630.3
2020-01-08 09:15:00,680.38836139,2255.25,628.65
2020-01-09 09:15:00,696.05867458,2214.3501,635.7
2020-01-10 09:15:00,695.90129697,2213.55,641.35
2020-01-13 09:15:00,694.12517826,2190.3501,643.0
2020-01-14 09:15:00,687.69517887,2206.8999,644.75
2020-01-15 09:15:00,685.19961967,2226.8999,642.125
2020-01-16 09:15:00,691.51720648,2238.8,643.825
2020-01-17 09:15:00,710.89713469,2219.1001,639.075
2020-01-20 09:15:00,689.02164728,2170.3501,627.45
2020-01-21 09:15:00,689.71860525,2171.05,622.175
2020-01-22 09:15:00,689.47129759,2206.8999,620.425
2020-01-23 09:15:00,686.54857059,2190.95,622.425
2020-01-24 09:15:00,684.16542397,2183.3999,622.275
2020-01-27 09:15:00,677.42066937,2169.25,606.6
2020-01-28 09:15:00,661.7728387,2183.75,611.6
2020-01-29 09:15:00,665.41500618,2154.6001,617.925
2020-01-30 09:15:00,649.18263012,2137.8501,613.025
2020-01-31 09:15:00,634.74885528,2079.05,613.15
2020-02-01 09:15:00,622.0237516,2164.8501,599.35
2020-02-03 09:15:00,622.99049976,2102.5,596.4
2020-02-04 09:15:00,641.3811973,2107.75,614.9
2020-02-05 09:15:00,651.31846907,2146.55,622.325
2020-02-06 09:15:00,655.50021692,2128.3501,619.9
2020-02-07 09:15:00,644.64116202,2136.55,621.1
2020-02-10 09:15:00,645.51798012,2161.95,620.15
2020-02-11 09:15:00,653.22948288,2153.3999,620.3
2020-02-12 09:15:00,661.12084576,2170.75,624.5
2020-02-13 09:15:00,662.85199944,2191.95,620.7
2020-02-14 09:15:00,668.89979606,2184.2,609.675
2020-02-17 09:15:00,664.69556569,2203.25,608.575
2020-02-18 09:15:00,659.81685987,2215.75,606.625
2020-02-19 09:15:00,676.18413103,2196.3501,613.6
2020-02-20 09:15:00,668.15787305,2156.8,608.55
2020-02-24 09:15:00,649.72221048,2115.3501,604.975
2020-02-25 09:15:00,636.88469423,2156.1499,600.15
2020-02-26 09:15:00,625.91322675,2123.6001,599.625
2020-02-27 09:15:00,623.32773749,2105.5,599.725
2020-02-28 09:15:00,597.42787983,2000.15,588.825
2020-03-02 09:15:00,591.807251,2001.3,589.8
2020-03-03 09:15:00,603.81291418,2036.2,590.9
2020-03-04 09:15:00,602.39651572,2083.2,574.425
2020-03-05 09:15:00,589.55899946,2125.05,575.675
2020-03-06 09:15:00,571.50553966,2116.45,567.45
2020-03-09 09:15:00,500.97788907,1972.35,553.65
2020-03-11 09:15:00,518.69411115,1953.7,556.9
2020-03-12 09:15:00,477.97827589,1769.85,510.65
2020-03-13 09:15:00,496.99848386,1806.3,534.9
2020-03-16 09:15:00,456.70981639,1696.4,499.75
2020-03-17 09:15:00,453.24750903,1658.0,487.55
2020-03-18 09:15:00,435.48632192,1654.4,438.45
2020-03-19 09:15:00,412.64409084,1636.35,447.775
2020-03-20 09:15:00,457.72152958,1797.45,441.425
2020-03-23 09:15:00,397.51334903,1669.7,385.775
2020-03-24 09:15:00,424.20010822,1703.15,383.85
2020-03-25 09:15:00,486.63404429,1750.3,428.375
2020-03-26 09:15:00,479.41715687,1790.95,450.55
2020-03-27 09:15:00,479.14736669,1824.5,452.225
2020-03-30 09:15:00,463.34215841,1778.5,415.825
2020-03-31 09:15:00,500.79802895,1826.1,430.95
2020-04-01 09:15:00,485.82467374,1708.75,414.825
2020-04-03 09:15:00,484.47572282,1654.2,406.925
2020-04-07 09:15:00,542.32323476,1775.2,448.05
2020-04-08 09:15:00,536.05061298,1705.45,444.45
2020-04-09 09:15:00,548.55089151,1766.15,462.525
2020-04-13 09:15:00,534.70166206,1759.25,447.675
2020-04-15 09:15:00,517.03040501,1735.15,431.65
2020-04-16 09:15:00,525.21404059,1716.05,439.875
2020-04-17 09:15:00,550.37197525,1806.2,455.15
2020-04-20 09:15:00,559.27505132,1818.65,472.425
2020-04-21 09:15:00,556.37480684,1737.65,460.825
2020-04-22 09:15:00,613.14315804,1769.5,464.3
2020-04-23 09:15:00,616.42560528,1878.25,477.475
2020-04-24 09:15:00,637.15448442,1818.55,469.025
2020-04-27 09:15:00,642.88752582,1836.6,464.85
2020-04-28 09:15:00,642.16808533,1859.05,465.7
2020-04-29 09:15:00,641.62850497,1905.65,488.55
2020-04-30 09:15:00,659.18734944,2014.45,500.9
2020-05-04 09:15:00,645.33812,1930.45,461.5
2020-05-05 09:15:00,656.7817203,1932.75,455.725
2020-05-06 09:15:00,656.82668533,1903.6,473.2
2020-05-07 09:15:00,677.60052949,1891.65,462.5
2020-05-08 09:15:00,702.26384881,1893.4,464.525
2020-05-11 09:15:00,709.00860341,1935.3,457.9
2020-05-12 09:15:00,665.145216,1949.5,450.775
2020-05-13 09:15:00,679.28280029,1949.65,463.825
2020-05-14 09:15:00,651.82006554,1902.35,446.85
2020-05-15 09:15:00,662.46471232,1892.9,444.075
2020-05-18 09:15:00,653.99892714,1945.6,418.325
2020-05-19 09:15:00,639.54127257,1948.65,415.325
2020-05-20 09:15:00,650.79872417,1953.6,428.55
2020-05-21 09:15:00,654.22589189,1991.2,429.775
2020-05-22 09:15:00,649.82277574,2020.35,419.425
2020-05-26 09:15:00,646.41830449,1943.0,426.2
2020-05-27 09:15:00,656.17778874,2005.3,451.825
2020-05-28 09:15:00,668.29770639,2004.3,472.625
2020-05-29 09:15:00,664.73435982,1972.35,475.825
2020-06-01 09:15:00,690.13171534,2045.25,493.825
2020-06-02 09:15:00,697.09953317,2047.15,500.5
2020-06-03 09:15:00,699.80041369,2046.15,511.125
2020-06-04 09:15:00,717.11782412,2091.55,500.85
2020-06-05 09:15:00,717.98029017,2048.25,516.675
2020-06-08 09:15:00,712.44235027,2071.75,507.95
2020-06-09 09:15:00,697.75773094,2072.05,493.65
2020-06-10 09:15:00,713.64526344,2108.75,495.925
2020-06-11 09:15:00,698.00739217,2067.6499,484.3
2020-06-12 09:15:00,721.20318962,2039.5,491.375
2020-06-15 09:15:00,732.89187424,2029.9,474.925
2020-06-16 09:15:00,734.32175217,2045.8,495.2
2020-06-17 09:15:00,733.25501784,2047.8,489.625
2020-06-18 09:15:00,751.66185907,2038.1,509.975
2020-06-19 09:15:00,798.64356232,2044.6,516.675
2020-06-22 09:15:00,792.62899644,2027.95,514.375
2020-06-23 09:15:00,781.16727657,2035.3,521.15
2020-06-24 09:15:00,784.32208659,2042.2,516.25
2020-06-25 09:15:00,779.80548807,2016.1,514.375
2020-06-26 09:15:00,790.58631369,2118.8501,528.225
2020-06-29 09:15:00,782.18861794,2101.6499,538.025
2020-06-30 09:15:00,773.54126097,2082.1499,532.925
2020-07-01 09:15:00,788.74789922,2092.05,542.3
2020-07-02 09:15:00,799.07479534,2157.1499,544.7
2020-07-03 09:15:00,811.58055307,2199.6499,536.975
2020-07-06 09:15:00,840.58664812,2263.2,551.5
2020-07-07 09:15:00,827.7177468,2269.8999,552.575
2020-07-08 09:15:00,816.16524102,2218.8999,555.175
2020-07-09 09:15:00,828.0808904,2204.3501,562.475
2020-07-10 09:15:00,852.5022975,2222.3501,552.55
2020-07-13 09:15:00,878.35358252,2220.0,540.125
2020-07-14 09:15:00,870.18285152,2171.95,529.425
2020-07-15 09:15:00,837.04599802,2233.8999,526.575
2020-07-16 09:15:00,836.77364032,2234.75,531.275
2020-07-17 09:15:00,867.77702517,2200.75,549.225
2020-07-20 09:15:00,871.49924707,2207.8999,566.525
2020-07-21 09:15:00,894.94470575,2225.05,569.275
2020-07-22 09:15:00,909.67471802,2190.95,563.175
2020-07-23 09:15:00,934.09612512,2171.2,565.2
2020-07-24 09:15:00,974.20075106,2157.3999,559.55
2020-07-27 09:15:00,978.76278792,2206.8,539.75
2020-07-28 09:15:00,988.52227217,2309.75,543.325
2020-07-29 09:15:00,951.73124081,2276.05,532.3
2020-07-30 09:15:00,957.26927149,2279.5,525.325
2020-07-31 09:15:00,938.31771487,2281.3999,516.4
2020-08-03 09:15:00,911.94436552,2254.1499,501.0
2020-08-04 09:15:00,976.22082812,2249.7,520.825
2020-08-05 09:15:00,965.2583853,2259.5,513.775
2020-08-06 09:15:00,968.73099137,2308.1001,520.35
2020-08-07 09:15:00,974.3369753,2295.3501,521.925
2020-08-10 09:15:00,962.26249599,2282.8,525.325
2020-08-11 09:15:00,968.59476712,2279.8999,533.325
2020-08-12 09:15:00,965.78044962,2257.3501,531.85
2020-08-13 09:15:00,963.2610955,2254.45,529.525
2020-08-14 09:15:00,959.51617712,2242.1499,517.225
2020-08-17 09:15:00,949.32550524,2253.3999,516.375
2020-08-18 09:15:00,961.67234225,2269.75,528.25
2020-08-19 09:15:00,967.57342575,2256.6001,533.3
2020-08-20 09:15:00,951.912858,2252.8501,529.5
2020-08-21 09:15:00,945.01317499,2248.6001,542.825
2020-08-24 09:15:00,951.32274965,2248.1001,558.525
2020-08-25 09:15:00,945.12665737,2242.6499,559.85
2020-08-26 09:15:00,970.18352037,2253.5,559.225
2020-08-27 09:15:00,958.06364812,2248.3999,556.05
2020-08-28 09:15:00,960.58286606,2238.55,557.25
2020-08-31 09:15:00,944.49111067,2257.25,557.925
2020-09-01 09:15:00,947.4643489,2246.3501,563.65
2020-09-02 09:15:00,966.05276192,2265.1499,567.075
2020-09-03 09:15:00,958.74454237,2299.5,565.45
2020-09-04 09:15:00,942.9250539,2288.8,559.65
2020-09-07 09:15:00,945.37622781,2327.05,555.25
2020-09-08 09:15:00,956.47489487,2348.2,556.225
2020-09-09 09:15:00,981.10057024,2327.6499,548.25
2020-09-10 09:15:00,1050.39286303,2331.1499,545.275
2020-09-11 09:15:00,1053.00295765,2374.1001,539.325
2020-09-14 09:15:00,1045.19537025,2491.3999,528.975
2020-09-15 09:15:00,1052.59446649,2491.3999,535.25
2020-09-16 09:15:00,1055.18181925,2503.0,546.825
2020-09-17 09:15:00,1043.47043815,2460.95,541.8
