,RELIANCE.NS,TCS.NS,HDFCBANK.NS
2020-01-01 09:15:00,686.66098317,2183.8999,640.0
2020-01-02 09:15:00,692.88863992,2179.95,644.0
2020-01-03 09:15:00,693.20339513,2223.0,642.5
2020-01-06 09:15:00,687.02070341,2225.95,630.9
2020-01-07 09:15:00,689.98839544,2214.6499,635.725
2020-01-08 09:15:00,689.96591292,2260.0,631.075
2020-01-09 09:15:00,696.95797519,2251.95,637.9
2020-01-10 09:15:00,700.53269513,2234.0,643.45
2020-01-13 09:15:00,700.86993286,2218.95,648.25
2020-01-14 09:15:00,696.95797519,2229.8,646.275
2020-01-15 09:15:00,692.41650709,2231.0,643.975
2020-01-16 09:15:00,693.96780065,2249.0,645.5
2020-01-17 09:15:00,712.6732534,2253.55,642.45
2020-01-20 09:15:00,723.48734328,2242.2,652.425
2020-01-21 09:15:00,695.09192642,2186.55,625.0
2020-01-22 09:15:00,695.49661169,2210.0,627.5
2020-01-23 09:15:00,693.33829022,2217.75,623.425
2020-01-24 09:15:00,690.82024851,2190.95,627.0
2020-01-27 09:15:00,685.46940986,2193.45,617.5
2020-01-28 09:15:00,678.97196293,2187.8,613.9
2020-01-29 09:15:00,671.95741814,2186.95,621.0
2020-01-30 09:15:00,665.34755864,2165.0,619.475
2020-01-31 09:15:00,653.45430803,2144.3501,618.9
2020-02-01 09:15:00,641.62850497,2180.7,613.85
2020-02-03 09:15:00,629.48794669,2194.7,598.975
2020-02-04 09:15:00,644.12406417,2136.7,617.0
2020-02-05 09:15:00,653.25196539,2156.7,624.0
2020-02-06 09:15:00,659.63699974,2174.2,624.35
2020-02-07 09:15:00,653.04962275,2151.0,623.5
2020-02-10 09:15:00,649.96951815,2167.0,621.475
2020-02-11 09:15:00,659.2772795,2174.8,627.5
2020-02-12 09:15:00,663.16675465,2185.0,626.45
2020-02-13 09:15:00,664.47074054,2197.0,629.95
2020-02-14 09:15:00,675.12745281,2212.0,624.2
2020-02-17 09:15:00,677.24080925,2217.0,616.5
2020-02-18 09:15:00,663.63888747,2221.0,609.25
2020-02-19 09:15:00,677.37570434,2230.0,615.0
2020-02-20 09:15:00,678.07266231,2214.3999,615.0
2020-02-24 09:15:00,664.13350281,2178.95,607.375
2020-02-25 09:15:00,652.62245496,2176.6499,604.5
2020-02-26 09:15:00,635.06361049,2163.8999,602.35
2020-02-27 09:15:00,626.7225973,2119.95,601.25
2020-02-28 09:15:00,610.17546602,2069.5,592.5
2020-03-02 09:15:00,615.5712697,2053.95,600.575
2020-03-03 09:15:00,608.78155007,2060.0,592.675
2020-03-04 09:15:00,608.73658504,2094.45,590.0
2020-03-05 09:15:00,610.60263381,2147.75,582.5
2020-03-06 09:15:00,579.21704241,2123.6499,570.45
2020-03-09 09:15:00,558.01603046,2079.8999,559.2
2020-03-11 09:15:00,529.89040378,1987.3,560.0
2020-03-12 09:15:00,495.06498754,1908.4,540.0
2020-03-13 09:15:00,512.60134949,1820.0,540.725
2020-03-16 09:15:00,485.48743601,1842.25,518.5
2020-03-17 09:15:00,476.62932497,1731.0,505.0
2020-03-18 09:15:00,465.79275258,1713.55,496.5
2020-03-19 09:15:00,434.81184646,1685.45,459.975
2020-03-20 09:15:00,465.34310227,1869.0,457.3
2020-03-23 09:15:00,427.16779125,1750.0,419.375
2020-03-24 09:15:00,436.16079738,1770.0,405.0
2020-03-25 09:15:00,517.79481054,1810.0,433.725
2020-03-26 09:15:00,502.21442741,1832.05,468.85
2020-03-27 09:15:00,497.89778447,1850.0,494.325
2020-03-30 09:15:00,483.28414951,1905.0,443.5
2020-03-31 09:15:00,508.01491637,1855.0,436.8
2020-04-01 09:15:00,505.67673477,1834.75,431.925
2020-04-03 09:15:00,510.10579029,1740.0,422.0
2020-04-07 09:15:00,545.87547218,1785.85,453.65
2020-04-08 09:15:00,552.62022678,1806.0,472.5
2020-04-09 09:15:00,554.32889794,1778.8,465.45
2020-04-13 09:15:00,546.32512249,1787.0,473.35
2020-04-15 09:15:00,555.76777893,1812.0,465.25
2020-04-16 09:15:00,533.93725654,1764.9,445.35
2020-04-17 09:15:00,553.06987709,1851.95,460.0
2020-04-20 09:15:00,565.21043536,1830.0,480.475
2020-04-21 09:15:00,562.96218383,1794.6,467.0
2020-04-22 09:15:00,622.72070957,1790.0,466.5
2020-04-23 09:15:00,623.14787737,1900.0,479.25
2020-04-24 09:15:00,672.20472581,1851.95,479.2
2020-04-27 09:15:00,663.2342022,1875.0,478.7
2020-04-28 09:15:00,654.4435387,1868.0,471.9
2020-04-29 09:15:00,653.63416815,1912.55,496.35
2020-04-30 09:15:00,672.20472581,2032.0,509.5
2020-05-04 09:15:00,658.73769913,1966.0,480.0
2020-05-05 09:15:00,665.03280342,1977.0,472.0
2020-05-06 09:15:00,667.70822275,1953.7,475.0
2020-05-07 09:15:00,680.61318655,1934.45,471.65
2020-05-08 09:15:00,710.40251936,1939.5,471.975
2020-05-11 09:15:00,726.18524512,1951.4,477.0
2020-05-12 09:15:00,705.20905832,1956.5,454.7
2020-05-13 09:15:00,693.15034652,1994.0,480.0
2020-05-14 09:15:00,679.39628267,1923.1,455.5
2020-05-15 09:15:00,665.77839767,1917.4,446.2
2020-05-18 09:15:00,672.72351902,1952.95,444.0
2020-05-19 09:15:00,663.50875017,1966.45,433.65
2020-05-20 09:15:00,656.76789709,1962.9,432.0
2020-05-21 09:15:00,663.39526779,1998.0,442.0
2020-05-22 09:15:00,661.82921102,2032.0,435.15
2020-05-26 09:15:00,658.06159617,2024.0,435.875
2020-05-27 09:15:00,660.01349302,2010.0,454.9
2020-05-28 09:15:00,671.70217764,2014.0,475.0
2020-05-29 09:15:00,668.18422402,2002.65,477.5
2020-06-01 09:15:00,698.30244634,2060.0,497.5
2020-06-02 09:15:00,699.05143002,2081.0,502.5
2020-06-03 09:15:00,708.13002002,2063.75,523.125
2020-06-04 09:15:00,721.52094027,2100.0,519.475
2020-06-05 09:15:00,734.45793102,2098.0,521.2
2020-06-08 09:15:00,734.63950282,2095.0,533.325
2020-06-09 09:15:00,718.57039852,2095.5,513.375
2020-06-10 09:15:00,717.00434174,2132.0,499.925
2020-06-11 09:15:00,711.73875954,2105.0,494.2
2020-06-12 09:15:00,723.10969352,2049.2,493.325
2020-06-15 09:15:00,738.52060004,2059.0,487.0
2020-06-16 09:15:00,748.32547724,2073.95,496.975
2020-06-17 09:15:00,742.37900079,2058.8501,499.45
2020-06-18 09:15:00,755.79261752,2059.2,512.45
2020-06-19 09:15:00,811.98908962,2090.0,521.5
2020-06-22 09:15:00,818.97960392,2052.25,522.975
2020-06-23 09:15:00,800.61815564,2044.0,522.5
2020-06-24 09:15:00,804.68082467,2064.25,528.75
2020-06-25 09:15:00,793.92269552,2060.0,524.5
2020-06-26 09:15:00,795.28448402,2132.0,531.5
2020-06-29 09:15:00,789.72384764,2127.6001,541.3
2020-06-30 09:15:00,790.29125952,2111.8999,539.275
2020-07-01 09:15:00,793.92269552,2113.95,548.0
2020-07-02 09:15:00,802.36578422,2165.0,555.625
2020-07-03 09:15:00,813.89559352,2205.0,547.9
2020-07-06 09:15:00,843.40101102,2269.8999,559.95
2020-07-07 09:15:00,846.28346335,2302.7,555.85
2020-07-08 09:15:00,832.93793605,2274.3999,562.45
2020-07-09 09:15:00,832.96063252,2244.5,564.85
2020-07-10 09:15:00,855.47553572,2249.8501,560.0
2020-07-13 09:15:00,884.11848717,2244.95,556.5
2020-07-14 09:15:00,881.39491017,2239.0,534.45
2020-07-15 09:15:00,898.23569462,2260.0,539.5
2020-07-16 09:15:00,848.39423552,2333.0,532.75
2020-07-17 09:15:00,871.54464002,2243.8999,552.0
2020-07-20 09:15:00,876.99179402,2226.8999,576.45
2020-07-21 09:15:00,897.41862152,2238.6499,578.975
2020-07-22 09:15:00,912.39829502,2231.0,572.25
2020-07-23 09:15:00,944.03718117,2190.95,571.95
2020-07-24 09:15:00,981.84950852,2163.0,561.45
2020-07-27 09:15:00,998.10018462,2215.0,551.5
2020-07-28 09:15:00,995.92132302,2320.0,547.2
2020-07-29 09:15:00,990.83731262,2342.0,544.25
2020-07-30 09:15:00,971.27295117,2358.0,541.825
2020-07-31 09:15:00,966.41590552,2334.8,528.85
2020-08-03 09:15:00,933.73298152,2303.8501,513.475
2020-08-04 09:15:00,983.66522652,2269.6499,530.525
2020-08-05 09:15:00,996.82918202,2300.0,527.9
2020-08-06 09:15:00,983.98297717,2319.5,527.5
2020-08-07 09:15:00,979.48907512,2328.0,523.6
2020-08-10 09:15:00,982.75736752,2325.0,532.0
2020-08-11 09:15:00,980.48772002,2312.0,535.5
2020-08-12 09:15:00,973.67877752,2296.3999,533.0
2020-08-13 09:15:00,970.90976218,2300.0,535.675
2020-08-14 09:15:00,979.12593152,2281.3,532.95
2020-08-17 09:15:00,955.52159752,2270.0,523.5
2020-08-18 09:15:00,968.82173187,2289.0,530.825
2020-08-19 09:15:00,977.76414302,2284.6001,534.9
2020-08-20 09:15:00,964.10081968,2276.55,534.475
2020-08-21 09:15:00,963.23839902,2271.0,544.4
2020-08-24 09:15:00,955.29463277,2259.95,561.475
2020-08-25 09:15:00,958.38135337,2250.0,563.5
2020-08-26 09:15:00,975.01786955,2259.8999,565.875
2020-08-27 09:15:00,975.94842502,2287.3501,564.95
2020-08-28 09:15:00,968.18618518,2279.95,562.5
2020-08-31 09:15:00,986.84273302,2276.2,574.4
2020-09-01 09:15:00,963.41992543,2278.0,571.8
2020-09-02 09:15:00,970.50127102,2268.75,569.5
2020-09-03 09:15:00,970.84171815,2324.0,572.975
2020-09-04 09:15:00,951.86746505,2324.25,562.7
2020-09-07 09:15:00,955.86204465,2343.5,559.75
2020-09-08 09:15:00,962.78446952,2390.45,559.4
2020-09-09 09:15:00,984.02837012,2359.0,555.0
2020-09-10 09:15:00,1064.44198105,2348.5,552.425
2020-09-11 09:15:00,1061.21912699,2383.0,552.425
2020-09-14 09:15:00,1071.27362003,2505.75,547.0
2020-09-15 09:15:00,1055.72653465,2538.0,538.075
2020-09-16 09:15:00,1075.51790624,2507.6001,548.0
2020-09-17 09:15:00,1059.33527418,2495.75,547.0
2020-09-18 09:15:00,1052.8667788,2500.3999,546.1
2020-09-21 09:15:00,1060.37931203,2504.8999,535.675
2020-09-22 09:15:00,1033.59747153,2555.0,529.075
2020-09-23 09:15:00,1033.48398915,2519.8501,527.5
2020-09-24 09:15:00,1010.44706703,2450.0,523.5
2020-09-25 09:15:00,1004.45519762,2440.0,525.975
2020-09-28 09:15:00,1015.89422103,2444.0,529.5
2020-09-29 09:15:00,1027.69638803,2511.05,534.95
2020-09-30 09:15:00,1029.05817653,2505.0,543.45
2020-10-01 09:15:00,1027.60560213,2540.0,555.0
2020-10-05 09:15:00,1020.95548956,2728.1001,566.0
2020-10-06 09:15:00,1014.03306468,2736.0,574.0
2020-10-07 09:15:00,1048.12321553,2770.0,582.425
