,RELIANCE.NS,TCS.NS,HDFCBANK.NS
2020-01-01 09:15:00,676.94853655,2154.0,635.3
2020-01-02 09:15:00,679.87126354,2149.2,639.5
2020-01-03 09:15:00,684.81741691,2164.0,631.8
2020-01-06 09:15:00,673.57615925,2187.8999,618.0
2020-01-07 09:15:00,680.545739,2183.8,626.125
2020-01-08 09:15:00,678.97196293,2202.05,620.025
2020-01-09 09:15:00,688.52703194,2210.0,631.55
2020-01-10 09:15:00,692.30409452,2208.0,637.55
2020-01-13 09:15:00,691.74203163,2184.7,638.0
2020-01-14 09:15:00,684.30031906,2195.0,638.75
2020-01-15 09:15:00,682.68157796,2194.2,637.05
2020-01-16 09:15:00,687.06566845,2215.0,639.675
2020-01-17 09:15:00,698.39685617,2213.0,635.95
2020-01-20 09:15:00,686.34622795,2156.2,626.25
2020-01-21 09:15:00,684.36776661,2158.05,619.2
2020-01-22 09:15:00,688.4595844,2173.7,617.2
2020-01-23 09:15:00,683.78322121,2183.7,615.5
2020-01-24 09:15:00,682.81647305,2170.0,619.55
2020-01-27 09:15:00,676.72371139,2165.0,605.875
2020-01-28 09:15:00,658.1081887,2152.0,606.625
2020-01-29 09:15:00,658.31053134,2150.0,611.125
2020-01-30 09:15:00,647.49644147,2125.0,608.6
2020-01-31 09:15:00,632.74791141,2071.6001,610.125
2020-02-01 09:15:00,616.51553534,2063.6001,595.675
2020-02-03 09:15:00,612.89585038,2093.2,588.85
2020-02-04 09:15:00,628.52119853,2086.6001,599.0
2020-02-05 09:15:00,643.13483349,2104.3,613.65
2020-02-06 09:15:00,647.5414065,2115.5,618.6
2020-02-07 09:15:00,642.23553288,2119.0,615.8
2020-02-10 09:15:00,634.20927491,2119.0,613.025
2020-02-11 09:15:00,649.76717552,2147.6001,619.025
2020-02-12 09:15:00,654.24119607,2150.0,622.025
2020-02-13 09:15:00,657.6585384,2171.0,616.8
2020-02-14 09:15:00,653.38686048,2171.0,607.5
2020-02-17 09:15:00,662.91944698,2190.2,607.225
2020-02-18 09:15:00,655.3203568,2186.05,601.75
2020-02-19 09:15:00,663.27916723,2190.5,606.95
2020-02-20 09:15:00,667.19112489,2151.25,607.05
2020-02-24 09:15:00,647.29409883,2106.7,600.0
2020-02-25 09:15:00,634.00693227,2111.0,599.0
2020-02-26 09:15:00,623.82235283,2112.95,592.825
2020-02-27 09:15:00,615.5712697,2086.2,590.5
2020-02-28 09:15:00,595.78665621,1990.0,585.05
2020-03-02 09:15:00,585.04001388,1985.7,583.075
2020-03-03 09:15:00,594.43770529,2012.0,584.0
2020-03-04 09:15:00,588.09763597,2025.0,566.55
2020-03-05 09:15:00,587.24330039,2084.05,571.375
2020-03-06 09:15:00,558.06099549,2071.6001,550.5
