,RELIANCE.NS,TCS.NS,HDFCBANK.NS
2020-01-01 09:15:00,682.56916538,2168.0,638.05
2020-01-02 09:15:00,679.87126354,2179.95,639.5
2020-01-03 09:15:00,689.31391998,2164.0,641.1
2020-01-06 09:15:00,683.46846599,2205.0,630.0
2020-01-07 09:15:00,683.01881569,2200.5,629.45
2020-01-08 09:15:00,681.22021446,2205.0,623.475
2020-01-09 09:15:00,691.8319617,2248.75,632.5
2020-01-10 09:15:00,697.81231077,2228.0,642.05
2020-01-13 09:15:00,694.73220617,2217.8501,641.35
2020-01-14 09:15:00,692.46147212,2195.0,644.5
2020-01-15 09:15:00,690.59542335,2213.0,643.2
2020-01-16 09:15:00,687.51531875,2226.95,641.025
2020-01-17 09:15:00,698.53175126,2240.75,640.875
2020-01-20 09:15:00,723.48734328,2194.8999,652.425
2020-01-21 09:15:00,687.33545863,2169.95,625.0
2020-01-22 09:15:00,694.26007335,2181.0,624.025
2020-01-23 09:15:00,690.88769605,2209.8,620.0
2020-01-24 09:15:00,686.61601814,2190.95,623.0
2020-01-27 09:15:00,681.17524943,2189.7,617.5
2020-01-28 09:15:00,678.3424525,2174.0,609.4
2020-01-29 09:15:00,662.80703441,2185.0,612.65
2020-01-30 09:15:00,665.03280342,2160.0,619.475
2020-01-31 09:15:00,653.34189545,2139.3999,615.725
2020-02-01 09:15:00,631.89357583,2079.5,610.0
2020-02-03 09:15:00,615.97595498,2152.0,598.5
2020-02-04 09:15:00,629.5104292,2129.0,599.0
2020-02-05 09:15:00,645.2032249,2115.0,617.45
2020-02-06 09:15:00,653.83651079,2145.0,622.325
2020-02-07 09:15:00,652.44259484,2139.0,623.0
2020-02-10 09:15:00,642.10063779,2140.8999,621.475
2020-02-11 09:15:00,650.82385374,2163.0,621.65
2020-02-12 09:15:00,654.75829392,2151.1001,622.6
2020-02-13 09:15:00,664.47074054,2172.95,629.95
2020-02-14 09:15:00,664.24591539,2188.0,621.6
2020-02-17 09:15:00,669.52930649,2196.95,612.5
2020-02-18 09:15:00,663.63888747,2199.95,608.45
2020-02-19 09:15:00,665.19018103,2215.75,611.25
2020-02-20 09:15:00,673.12650894,2204.5,615.0
2020-02-24 09:15:00,660.87353809,2156.0,604.475
2020-02-25 09:15:00,652.62245496,2115.5,602.0
2020-02-26 09:15:00,634.00693227,2154.0,598.75
2020-02-27 09:15:00,624.11462553,2119.95,597.5
2020-02-28 09:15:00,609.23120038,2068.0,587.75
2020-03-02 09:15:00,609.32113044,2035.0,600.1
2020-03-03 09:15:00,597.90001265,2020.0,587.5
2020-03-04 09:15:00,607.92721449,2056.0,589.175
2020-03-05 09:15:00,608.01714455,2085.7,576.5
2020-03-06 09:15:00,571.05588935,2098.0,562.5
2020-03-09 09:15:00,557.58886267,2075.0,555.0
2020-03-11 09:15:00,498.21253968,1933.0,552.5
2020-03-12 09:15:00,487.87058263,1904.0,537.5
2020-03-13 09:15:00,448.75100596,1687.9,490.025
2020-03-16 09:15:00,476.87663264,1755.0,517.5
2020-03-17 09:15:00,470.89628356,1730.0,504.0
2020-03-18 09:15:00,461.02645933,1676.8,492.5
2020-03-19 09:15:00,413.72323809,1559.7,423.5
2020-03-20 09:15:00,422.44646303,1630.0,437.5
2020-03-23 09:15:00,411.96961538,1620.0,397.3
2020-03-24 09:15:00,418.17478511,1653.05,397.625
2020-03-25 09:15:00,433.37296098,1700.0,385.225
2020-03-26 09:15:00,492.72680594,1831.6,435.05
2020-03-27 09:15:00,492.3670857,1820.0,472.475
2020-03-30 09:15:00,467.90610902,1766.0,440.0
2020-03-31 09:15:00,482.90194675,1837.4,426.9
2020-04-01 09:15:00,504.62005655,1825.9,431.925
2020-04-03 09:15:00,510.10579029,1740.0,421.5
2020-04-07 09:15:00,495.55960288,1710.0,437.0
2020-04-08 09:15:00,530.58736176,1760.0,439.975
2020-04-09 09:15:00,545.87547218,1750.45,456.5
2020-04-13 09:15:00,541.3564866,1761.0,467.0
2020-04-15 09:15:00,538.25389948,1785.0,465.25
2020-04-16 09:15:00,517.03040501,1709.95,432.5
2020-04-17 09:15:00,546.77477279,1800.0,457.5
2020-04-20 09:15:00,551.27127586,1830.0,475.5
2020-04-21 09:15:00,544.07687095,1765.0,462.5
2020-04-22 09:15:00,593.53840468,1737.65,459.575
2020-04-23 09:15:00,614.82934669,1780.0,467.5
2020-04-24 09:15:00,607.09536142,1840.7,466.5
2020-04-27 09:15:00,644.79853963,1832.3,472.575
2020-04-28 09:15:00,651.99294453,1865.0,471.9
2020-04-29 09:15:00,649.69972797,1874.0,467.5
2020-04-30 09:15:00,653.76906324,1980.0,500.7
2020-05-04 09:15:00,647.49644147,1966.0,478.75
2020-05-05 09:15:00,653.65665067,1955.1,469.0
2020-05-06 09:15:00,658.28804882,1939.8,459.5
2020-05-07 09:15:00,654.24119607,1910.0,470.25
2020-05-08 09:15:00,694.70972366,1939.1,471.0
2020-05-11 09:15:00,710.44748439,1909.0,468.5
2020-05-12 09:15:00,703.61279973,1933.4,450.5
2020-05-13 09:15:00,693.15034652,1994.0,475.5
2020-05-14 09:15:00,666.82243552,1910.0,449.0
2020-05-15 09:15:00,655.47419802,1916.0,445.25
2020-05-18 09:15:00,667.27636502,1907.0,444.0
2020-05-19 09:15:00,661.37528152,1903.0,430.425
2020-05-20 09:15:00,640.04059502,1950.0,418.225
