,RELIANCE.NS,TCS.NS,HDFCBANK.NS
2020-01-01 09:15:00,14238558.0669951,1354908.0,3673698.0
2020-01-02 09:15:00,18006350.44971894,2380752.0,6137166.0
2020-01-03 09:15:00,21335464.15900253,4655761.0,10855550.0
2020-01-06 09:15:00,24929023.36795879,3023209.0,10890186.0
2020-01-07 09:15:00,16962494.82872323,2429317.0,14724494.0
2020-01-08 09:15:00,16316148.11050524,5197454.0,11332110.0
2020-01-09 09:15:00,15233184.32091075,3734173.0,9546316.0
2020-01-10 09:15:00,12686938.97589425,1915807.0,9214580.0
2020-01-13 09:15:00,18587977.98599817,2843893.0,7451568.0
2020-01-14 09:15:00,16080914.19994517,2948452.0,7886290.0
2020-01-15 09:15:00,16082259.68996521,2620681.0,11787448.0
2020-01-16 09:15:00,13062733.22651395,3117214.0,7150400.0
2020-01-17 09:15:00,29955963.11858612,3281059.0,16918814.0
2020-01-20 09:15:00,33089865.12954187,5817599.0,22178450.0
2020-01-21 09:15:00,19239019.46360838,1902980.0,14984804.0
2020-01-22 09:15:00,10495367.02410861,1773686.0,18368310.0
2020-01-23 09:15:00,11435748.90268774,2069866.0,11508920.0
2020-01-24 09:15:00,14872964.39526673,1319430.0,11831756.0
2020-01-27 09:15:00,13611530.80630441,1549101.0,18888552.0
2020-01-28 09:15:00,24942300.3521234,1743024.0,13412158.0
2020-01-29 09:15:00,25160211.91265698,2306761.0,13788350.0
2020-01-30 09:15:00,22777157.827442,2098567.0,12111984.0
2020-01-31 09:15:00,35331173.50910932,3287223.0,11178268.0
2020-02-01 09:15:00,24514385.59884342,3319716.0,9827286.0
2020-02-03 09:15:00,31225656.45950612,4728073.0,13077010.0
2020-02-04 09:15:00,25808202.13025482,3509339.0,20897704.0
2020-02-05 09:15:00,18780867.88006004,2439322.0,18020682.0
2020-02-06 09:15:00,15798310.1448782,2640065.0,11827550.0
2020-02-07 09:15:00,12413292.99322511,2083442.0,6815448.0
2020-02-10 09:15:00,15395588.30225428,2383032.0,9219834.0
2020-02-11 09:15:00,14233827.72439575,1335820.0,11613520.0
2020-02-12 09:15:00,13759783.79095791,1620407.0,6297930.0
2020-02-13 09:15:00,13792413.59190652,1645948.0,9112140.0
2020-02-14 09:15:00,21582671.81876566,1500115.0,14688858.0
2020-02-17 09:15:00,13368922.2760643,1774724.0,10152690.0
2020-02-18 09:15:00,11313155.85828403,2486223.0,10529116.0
2020-02-19 09:15:00,14319834.56000682,1760463.0,10012268.0
2020-02-20 09:15:00,17174628.56599723,2317278.0,11123414.0
2020-02-24 09:15:00,21727424.30541664,3092877.0,16568084.0
2020-02-25 09:15:00,28208829.87189673,2674567.0,13886680.0
2020-02-26 09:15:00,29853556.87238378,2686842.0,13814786.0
2020-02-27 09:15:00,25473795.59744138,2349001.0,20655098.0
2020-02-28 09:15:00,39972945.05798565,4298076.0,24313056.0
2020-03-02 09:15:00,29993605.70384076,2667076.0,14664898.0
2020-03-03 09:15:00,27856778.51624208,2757585.0,22369550.0
2020-03-04 09:15:00,22474758.38945221,3237002.0,34288870.0
2020-03-05 09:15:00,31020381.38540862,3937056.0,19549708.0
2020-03-06 09:15:00,34297915.0119904,2595027.0,23053566.0
2020-03-09 09:15:00,89664807.09680094,4940982.0,34420594.0
2020-03-11 09:15:00,60575132.72372389,6796752.0,35538396.0
2020-03-12 09:15:00,56906822.09236546,8728972.0,59000812.0
2020-03-13 09:15:00,74524039.03668758,8029725.0,66343206.0
2020-03-16 09:15:00,39129805.41267246,7844420.0,31986348.0
2020-03-17 09:15:00,46208001.40957489,5713269.0,42677282.0
2020-03-18 09:15:00,45480891.93089829,7259111.0,61187618.0
2020-03-19 09:15:00,62430874.81441045,5135162.0,67220478.0
2020-03-20 09:15:00,64422342.37688631,8547645.0,88638030.0
2020-03-23 09:15:00,41351496.32535278,7003558.0,50284546.0
2020-03-24 09:15:00,46523535.49890074,6354209.0,61057352.0
2020-03-25 09:15:00,74353615.4900346,2765527.0,47228898.0
2020-03-26 09:15:00,46509328.90344956,4556071.0,57043362.0
2020-03-27 09:15:00,42354344.52406855,4331310.0,55238872.0
2020-03-30 09:15:00,30735631.21816094,8513608.0,39268626.0
2020-03-31 09:15:00,45034794.15876908,3927593.0,35211994.0
2020-04-01 09:15:00,42293085.80902429,4941898.0,29103516.0
2020-04-03 09:15:00,42059448.6948847,5735529.0,34998126.0
2020-04-07 09:15:00,55285310.91058767,5427965.0,60413252.0
2020-04-08 09:15:00,50714463.36539538,6285616.0,56219754.0
2020-04-09 09:15:00,33585456.91885424,5307649.0,44458024.0
2020-04-13 09:15:00,24069528.79106327,2990478.0,34158518.0
2020-04-15 09:15:00,35912260.6254301,4761401.0,57979046.0
2020-04-16 09:15:00,38081888.85816174,6245583.0,53854462.0
2020-04-17 09:15:00,33825634.67125651,9895825.0,55883662.0
2020-04-20 09:15:00,36633665.67121186,3244293.0,66233228.0
2020-04-21 09:15:00,62398947.78180287,5122606.0,33178296.0
2020-04-22 09:15:00,145070275.8260536,3829839.0,38289356.0
2020-04-23 09:15:00,66559125.08547606,5934424.0,40901790.0
2020-04-24 09:15:00,137243068.88647905,2987150.0,33285662.0
2020-04-27 09:15:00,59460677.79580933,3374747.0,27421454.0
2020-04-28 09:15:00,79765054.03332856,2678512.0,29441546.0
2020-04-29 09:15:00,38121935.53384889,4241579.0,55878038.0
2020-04-30 09:15:00,72540595.4874221,5915950.0,43795286.0
2020-05-04 09:15:00,54351658.70605914,3729409.0,26722354.0
2020-05-05 09:15:00,45654824.87135562,2905541.0,29674380.0
2020-05-06 09:15:00,41165998.84257455,3517432.0,33786280.0
2020-05-07 09:15:00,50865147.12788672,3166784.0,21832006.0
2020-05-08 09:15:00,85671875.31459294,2686536.0,20807494.0
2020-05-11 09:15:00,68209458.66503835,2449846.0,28550784.0
2020-05-12 09:15:00,102366479.74440216,3256630.0,49568648.0
2020-05-13 09:15:00,67539234.61515126,2656665.0,44347108.0
