,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
2020-01-01,682.56916538,686.66098317,676.94853655,678.7921028,14238558.0669951,2168.0,2183.8999,2154.0,2167.6001,1354908.0,638.05,640.0,635.3,639.3,3673698.0
2020-01-02,679.87126354,692.88863992,679.87126354,690.34811568,18006350.44971894,2179.95,2179.95,2149.2,2157.6499,2380752.0,639.5,644.0,639.5,643.375,6137166.0
2020-01-03,689.31391998,693.20339513,684.81741691,691.17996875,21335464.15900253,2164.0,2223.0,2164.0,2200.6499,4655761.0,641.1,642.5,631.8,634.2,10855550.0
2020-01-06,683.46846599,687.02070341,673.57615925,675.14993532,24929023.36795879,2205.0,2225.95,2187.8999,2200.45,3023209.0,630.0,630.9,618.0,620.475,10890186.0
2020-01-07,683.01881569,689.98839544,680.545739,685.5368574,16962494.82872323,2200.5,2214.6499,2183.8,2205.8501,2429317.0,629.45,635.725,626.125,630.3,14724494.0
2020-01-08,681.22021446,689.96591292,678.97196293,680.38836139,16316148.11050524,2205.0,2260.0,2202.05,2255.25,5197454.0,623.475,631.075,620.025,628.65,11332110.0
2020-01-09,691.8319617,696.95797519,688.52703194,696.05867458,15233184.32091075,2248.75,2251.95,2210.0,2214.3501,3734173.0,632.5,637.9,631.55,635.7,9546316.0
2020-01-10,697.81231077,700.53269513,692.30409452,695.90129697,12686938.97589425,2228.0,2234.0,2208.0,2213.55,1915807.0,642.05,643.45,637.55,641.35,9214580.0
2020-01-13,694.73220617,700.86993286,691.74203163,694.12517826,18587977.98599817,2217.8501,2218.95,2184.7,2190.3501,2843893.0,641.35,648.25,638.0,643.0,7451568.0
2020-01-14,692.46147212,696.95797519,684.30031906,687.69517887,16080914.19994517,2195.0,2229.8,2195.0,2206.8999,2948452.0,644.5,646.275,638.75,644.75,7886290.0
2020-01-15,690.59542335,692.41650709,682.68157796,685.19961967,16082259.68996521,2213.0,2231.0,2194.2,2226.8999,2620681.0,643.2,643.975,637.05,642.125,11787448.0
2020-01-16,687.51531875,693.96780065,687.06566845,691.51720648,13062733.22651395,2226.95,2249.0,2215.0,2238.8,3117214.0,641.025,645.5,639.675,643.825,7150400.0
2020-01-17,698.53175126,712.6732534,698.39685617,710.89713469,29955963.11858612,2240.75,2253.55,2213.0,2219.1001,3281059.0,640.875,642.45,635.95,639.075,16918814.0
2020-01-20,723.48734328,723.48734328,686.34622795,689.02164728,33089865.12954187,2194.8999,2242.2,2156.2,2170.3501,5817599.0,652.425,652.425,626.25,627.45,22178450.0
2020-01-21,687.33545863,695.09192642,684.36776661,689.71860525,19239019.46360838,2169.95,2186.55,2158.05,2171.05,1902980.0,625.0,625.0,619.2,622.175,14984804.0
2020-01-22,694.26007335,695.49661169,688.4595844,689.47129759,10495367.02410861,2181.0,2210.0,2173.7,2206.8999,1773686.0,624.025,627.5,617.2,620.425,18368310.0
2020-01-23,690.88769605,693.33829022,683.78322121,686.54857059,11435748.90268774,2209.8,2217.75,2183.7,2190.95,2069866.0,620.0,623.425,615.5,622.425,11508920.0
2020-01-24,686.61601814,690.82024851,682.81647305,684.16542397,14872964.39526673,2190.95,2190.95,2170.0,2183.3999,1319430.0,623.0,627.0,619.55,622.275,11831756.0
2020-01-27,681.17524943,685.46940986,676.72371139,677.42066937,13611530.80630441,2189.7,2193.45,2165.0,2169.25,1549101.0,617.5,617.5,605.875,606.6,18888552.0
2020-01-28,678.3424525,678.97196293,658.1081887,661.7728387,24942300.3521234,2174.0,2187.8,2152.0,2183.75,1743024.0,609.4,613.9,606.625,611.6,13412158.0
2020-01-29,662.80703441,671.95741814,658.31053134,665.41500618,25160211.91265698,2185.0,2186.95,2150.0,2154.6001,2306761.0,612.65,621.0,611.125,617.925,13788350.0
2020-01-30,665.03280342,665.34755864,647.49644147,649.18263012,22777157.827442,2160.0,2165.0,2125.0,2137.8501,2098567.0,619.475,619.475,608.6,613.025,12111984.0
